"English sentence","Swahili Translation"
"The amount of semantic interconnection and richness that comes out of that is really huge.","Hapo idadi ya miunganiko ya taarifa na idadi ya ubora ambao unakuja pamoja nayo ni kubwa sana. Ni matokeo ya kiwango cha juu cha muungano wa mtandao."
"Right!","Haki!"
"- Stop!","- Stop!"
"More light, you knaves; and turn the tables up,","Zaidi mwanga, wewe knaves; na kurejea meza up,"
"""Where, then?""","Wapi, basi? """
"lifelessly behind.","lifelessly nyuma."
"MONTAGUE I would thou wert so happy by thy stay","Montague ingekuwa heri kama ungekuwa na furaha na kukaa yako"
"Let me think: was I the same when I got up this morning?","Hebu fikiri: ilikuwa ni mimi kama hiyo wakati mimi got up asubuhi ya leo?"
"She could not help thinking about the garden which no one had been into for ten years.","Yeye hakuweza kusaidia kufikiri juu ya bustani ambayo hakuna mtu alikuwa ndani ya kumi miaka."
"'Not I!' he replied.","'Si I!' alijibu."
"""In the shop at Thwaite they sell packages o' flower-seeds for a penny each, and our","""Katika duka saa Thwaite wao kuuza mifuko o 'mbegu za maua kwa kila senti yetu na"
"Should not every apartment in which man dwells be lofty enough to create some obscurity overhead, where flickering shadows may play at evening about the rafters?","Je, si kila ghorofa ambayo mtu hukaa kuwa anajivuna kutosha kujenga baadhi ya Rudia upofu, ambapo flickering vivuli inaweza kucheza wakati wa jioni kuhusu viguzo?"
"It's all so unreasonable.","Ni wote ili maana."
"Let's find Ivan, let's find him now.","Hebu kujua Ivan, hebu kumpata sasa."
"I lounged up the side aisle like any other idler who has dropped into a church.","Mimi lounged up aisle upande kama mvivu wowote ambao imeshuka ndani ya kanisa."
"It was certainly rude of him, after telling him all she had done.","Ni hakika rude yake, baada ya yeye kumwambia yote waliyoyafanya."
"For he can thoroughly enjoy The pepper when he pleases!'","Maana yeye hawezi kabisa kufurahia pilipili wakati amtakaye! '"
"The driver looked twice at such a shabby fare, but I jumped in before he could object.","Landau yake wakati Cab alikuja kwa njia ya mitaani. dereva inaonekana mara mbili kwa vile nauli chakavu, lakini mimi akaruka mbele hakuweza kitu."
"Even after I became suspicious, I found it hard to think evil of such a dear, kind old clergyman.","Hata baada ya mimi kuwa tuhuma, nimeona ni vigumu kufikiria mabaya ya wapenzi vile, aina ya zamani padre."
"Farewell: buy food and get thyself in flesh.--","Kuaga: kununua chakula na kupata mwenyewe katika mwili .--"
"He is a coward.","Yeye ni mwoga."
"Go straight through and try no foolery.","Kwenda moja kwa moja kupitia na kujaribu hakuna foolery."
"FRlAR Come, is the bride ready to go to church?","FRIAR Njoo, ni bibi tayari kwenda kanisani?"
"I stood looking at him a moment.","Niliposimama kuangalia saa yake sasa."
"What has happened is this: that China is growing, it's not so equal any longer, and it's appearing here, overlooking the United States.","Kilichotokea ni hiki: China inakua, haiko sawa tena, na inatokea hapa, ikiingalia Marekani."
"""None of your ventriloquising me,"" said Mr. Thomas Marvel, rising sharply to his feet.","""Hakuna hata ventriloquising wako kwangu,"" alisema Mheshimiwa Thomas Usistaajabu, kupanda kwa kasi hadi miguu yake."
"In the complexion of a third still lingers a tropic tawn, but slightly bleached withal; HE doubtless has tarried whole weeks ashore.","Katika complexion ya tatu bado inaendelea tawn Tropic, lakini kidogo bleached ya wote; HE bila shaka ina akakaa wiki nzima ashore."
"Right away he believed that the final amelioration of all his suffering was immediately at hand.","Mara aliamini kwamba amelioration ya mwisho ya mateso yake yote mara moja katika mkono."
"'Oh, hush!' the Rabbit whispered in a frightened tone.","'Oh, uss' Rabbit alimtia wasiwasi kwa sauti ya hofu."
"She is the daintiest thing under a bonnet on this planet.","Yeye ni jambo daintiest chini bonnet a kwenye dunia hii."
"What's there?","Nini huko?"
"With a little old driver, so lively and quick,","Na dereva na umri mdogo, hivyo uhai na haraka,"
"The Roman made an expiatory offering, and prayed, Whatever god or goddess thou art to whom this grove is sacred, be propitious to me, my family, and children, etc.","Kirumi alifanya sadaka hilo, na kuomba, Chochote mungu au miungu wewe kwa ambaye shamba hii ni takatifu, kuwa propitious kwangu, familia yangu, na watoto, nk"
"But that was not quite good enough, Mr. Holmes.","Lakini hiyo haikuwa nzuri ya kutosha kabisa, Bw Holmes."
"Black here and white there--in patches.","Black hapa na nyeupe huko - katika patches."
"ROMEO Whither?","Romeo wapi?"
"It was past the half hour, already nearly quarter to.","Ilikuwa ni kipindi cha nusu saa, tayari karibu robo ya."
"And my second message is that everyone thinks domestic violence happens to women, that it's a women's issue.","Na ujumbe wangu wa pili ni kwamba kila mtu hufikiri ugomvi wa nyumbani huwaathiri wanawake, ati ni swala la wanawake."
"I bade her come.--What, lamb! what ladybird!-- God forbid!--where's this girl?--what, Juliet!","Mimi aliniambia yake kuja nini, kondoo .--! nini ladybird - Hasha - ambapo 's hii msichana -? nini, Juliet!"
"My hair used to be straight.","Nywele zangu zilikuwa hazijajikunja ziko moja kwa moja."
"Above the clouds, as high as heaven itself?","Juu ya mawingu, kama juu kama mbinguni yenyewe?"
"""The matter was perfectly simple.","""Suala hilo kikamilifu rahisi."
"""The fact is, I'm all here--head, hands, legs, and all the rest of it, but it happens I'm invisible.","""Ukweli ni, mimi nina wote hapa - kichwa, mikono, miguu, na wengine wote, lakini ni hutokea mimi nina asiyeonekana."
"""I don't care, I don't care!","""Sijali, sijali!"
"As well might those tablets stand in the cave of Elephanta as here.","Pamoja ili wale vidonge kusimama katika pango ya Elephanta kama hapa."
"What was the relation between them, and what the object of his repeated visits?","Ni nini ilikuwa uhusiano kati yao, na kile kitu cha ziara yake ya mara kwa mara?"
"I'll draw them in rows of three.","Nitayachora malimau haya katika zefe kila moja ikiwa na tatu"
"""What do you do in your cottage when it rains like this?"" she asked Martha.","""Unafanya nini katika Cottage yako wakati wa mvua kama hii?"" Aliuliza Martha."
"He was a knowing man, was Mr. Wadgers, and very resourceful.","Yeye ni mtu kujua, alikuwa Mheshimiwa Wadgers, na mbunifu sana."
"Mrs. Medlock gave me th' place out o' kindness.","Bi Medlock alinipa 'mahali nje o' th wema."
"However, she did not like to be rude, so she bore it as well as she could.","Hata hivyo, yeye hakuwa na kama kwa ufasaha, hivyo yeye alichukua ni pamoja na yeye anaweza."
"Come, let's away; the strangers all are gone.","Njoo, hebu mbali; wageni wote ni gone."
"""I believe she scarcely ever looked at her,"" sighed Mrs. Crawford.","""Naamini yeye ni shida umewahi inaonekana saa yake,"" sighed Bibi Crawford."
"Gotcha!","Gotcha!"
"But being a sensible woman, she subdued her terrors and turned over and went to sleep again. &gt;","Lakini kutokana na kuwa mwanamke busara, yeye alishindwa hofu yake na akageuka juu na kwenda kulala tena. &gt;"
"'I want a clean cup,' interrupted the Hatter: 'let's all move one place on.'","'Nataka kikombe safi,' kuingiliwa Sungura: 'basi ni yote hoja moja juu ya mahali.'"
"For, by your leaves, you shall not stay alone Till holy church incorporate two in one.","Kwa maana, na majani yako, wala kukaa peke Mpaka takatifu kanisa kuingiza mbili katika moja."
"There is no need for you to be so confounded impatient, mister.","Hakuna haja ya wewe kuwa hivyo kufadhaika papara, bwana."
"Have they been merry! which their keepers call A lightning before death:","Je, wao wamekuwa merry! ambayo walinzi wao wito umeme kabla ya kifo:"
"If it's more being trapped on the way out, then you would expect it to be warmer here and cooler here.","Iwapo litakuwa linazuiwa wakati wa kutoka, kwa hiyo tungetegemea kuwe na joto kidogo hapa na baridi kidogo pale."
"She had even made each of the children a doughcake with a bit of brown sugar in it.","Alikuwa na hata akafanya kila mmoja watoto doughcake na kidogo ya sukari kahawia ndani yake."
"Fun and play...","Mziki na kucheza..."
"So when I was contacted by the Parks Department about a $10,000 seed-grant initiative to help develop waterfront projects,","Kwa hiyo nilipofuatwa na kitengo cha bustani za kupumzikia karibu dola 10,000 za utekelezaji kusaidia kuendeleza miradi ya pwani."
"Except for me.","Isipokuwa kwa ajili yangu."
"I'm very happy that I've met you.","Mimi nina furaha sana kuwa nimepata alikutana wewe."
"But I heard him exclaim, ere he drove out of sight,","Lakini nilimsikia Mkisema, kabla ya kuwafikia akawafukuza nje ya mbele,"
"As that of true and faithful Juliet.","Kama ile ya Juliet na kweli."
"Ha, Ishmael, muttered I, backing out, Wretched entertainment at the sign of 'The","Ha, Ishmaeli, wakaanza kunung'unika mimi, inaunga mkono nje, burudani muovu katika ishara ya '"
"""No. Everything is hot, and wet, and green after the rains in India,"" said Mary.","""Hapana Kila kitu ni moto, na mvua, na kijani baada ya mvua nchini India, ""alisema Maria."
"(Laughter)","(kicheko)"
"Nice knowing you kid.","Nice kujua wewe mtoto."
"- Is there a Lee Jungwoo here?","- Je, kuna Jungwoo Lee hapa?"
"When you raise your cry of fire, it will be taken up by quite a number of people.","Wakati kuongeza kilio yako ya moto, itakuwa zinachukuliwa na idadi ya watu kabisa."
"lol it would be the one c right judge i do remember something about that seems to me i remember transaction involving that amount uh... right around the holiday","lol itakuwa moja c haki hakimu i kufanya kumbuka kitu juu ya kwamba Inaonekana kwangu i kukumbuka manunuzi kuwashirikisha kwamba kiasi uh ... haki kote likizo"
"Go to sleep.","Kwenda kulala."
"What is going on?","Kinachoendelea?"
"Change the global treaties.","Badilisha mikataba ya kimataifa."
"Steve Jobs:","Steve Jobs:"
"JULlET O, find him! give this ring to my true knight,","Juliet O, kumpata! kutoa pete hii ya Knight yangu ya kweli,"
"Dickon saw her do it, and as she still said nothing, he began to be puzzled.","Dickon alipomwona kufanya hivyo, na kama bado yeye alisema kitu, akaanza kuwa puzzled."
"But I'm quite refreshed once again.","Lakini nina kabisa nishati mara nyingine tena."
"With my luck with men, what was I thinking?","Kwa bahati yangu na wanaume, nini mimi kufikiri?"
"MERCUTlO Yea, is the worst well? very well took, i' faith; wisely, wisely.","MERCUTIO Naam, ni vizuri mbaya? vizuri sana alichukua, imani i '; busara, busara."
"In school do you have to learn english?","Katika shule ya kufanya na kujifunza kiingereza?"
"But I could also write zero fours.","Naweza pia kuandika sufuri nne"
"""Stop!"" with such extraordinary violence that he silenced her instantly.","""Stop!"" Na unyanyasaji huo wa ajabu kwamba kimya chake papo hapo."
"She gave him credit for as complete an understanding as possible.","Yeye akampa kama mikopo kwa ajili ya kukamilisha uelewa iwezekanavyo."
"NURSE Have you got leave to go to shrift to-day?","Je, unayo muuguzi kuondoka kwenda shrift leo?"
"[Enter the Prince and Attendants.]","[Enter Prince na wakunga.]"
"There! all right.","Hapo! sawa."
"God's Game - Full Movie - Comedy Mockumetary FREE on Anton Pictures youTube Channel","Mapori ya Mungu - Full Movie - Comedy Mockumetary Picha za juu Anton YouTube Channel"
"Thou art uprous'd with some distemperature; Or if not so, then here I hit it right,--","Wewe uprous'd na baadhi distemperature; Au kama si hivyo, basi hapa mimi hit haki, -"
"Let's eat.","Hebu kula."
"--FALCONER'S SHlPWRECK.","- Falconer 'S SHIPWRECK."
"""You have had a sleep!"" she said.","""Unaweza kuwa na usingizi!"" Alisema."
"And for all of us, the dreams of these children, like the dreams of our own children, become part of the naked geography of hope.","Na kwetu sote, ndoto za watoto hawa, kama vile ndoto za watoto wetu wenyewe, zimekuwa sehemu ya jiografia ya matumaini."
"- Excuse me?","- Excuse me?"
"As soon as we moved to New England -- you know, that place where Connor was supposed to feel so safe -- he bought three guns.","Muda tu tulipohamia New England--unajua, mahali Connor aliposema pangemfanya ajisikie salama-- alinunua bunduki tatu."
"Better not keep a house.","Bora si mfanyakazi wa nyumbani."
"He bowed me out of the room and I went home with my assistant, hardly knowing what to say or do, I was so pleased at my own good fortune.","Akainama nami nje ya chumba na mimi kurejea nyumbani na msaidizi wangu, ni vigumu kujua nini cha kusema au kufanya, mimi nilikuwa na furaha kwa bahati yangu nzuri."
"It's nothing.","Ni kitu."
"'Dear, dear!","'Wapendwa, dear!"
"ROMEO I fear, too early: for my mind misgives","Romeo mimi hofu, ni mapema mno: kwa akili yangu misgives"
"The '60s.","Miaka ya 60."
"Now, it's true he'd not slept quietly, but evidently he'd slept all the more deeply.","Sasa, ni kweli yeye si kulala d kimya kimya, lakini ni dhahiri yeye d akalala wote kwa undani zaidi."
"He was rooted to the spot, but convulsive shudders ran down his back; his shoulders would heave suddenly.","Alikuwa mizizi na doa, lakini convulsive shudders akalikabili nyuma yake; mabega yake itakuwa kuinuliwa ghafla."
"In penalty alike; and 'tis not hard, I think, For men so old as we to keep the peace.","Katika adhabu sawa sawa, na 'tis si ngumu, nadhani, Kwa ajili ya watu hivyo umri kama sisi kuweka amani."
"""The fish that you have tattooed immediately above your right wrist could only have been done in China.","""Samaki kwa kuwa tattooed mara moja juu ya mkono wako wa kulia inaweza tu kufanyika nchini China."
"""Imitated.""","""Kufuaswa."""
"So we could write this as x squared plus x minus 42 is equal to 0.","Hivyo tunaweza kuiandika hii kama x squared jumlisha x, toa arobaini na mbili ni sawa na sifuri."
"It took some person years, and we have produced animations.","Iliwachukua watu wengine miaka kadhaa, na tumetengeneza vielelezo."
"I sat down on an old wooden settle, carved all over like a bench on the Battery.","Mimi akaketi juu ya mbao zamani kuishi, carved wote juu kama benchi kwenye betri."
"'The Queen of Hearts, she made some tarts, All on a summer day:","'Malkia wa Hearts, yeye alifanya tarts baadhi, siku zote wakati wa kiangazi:"
"This takes energy, producing clean water.","Hii inahitaji nguvu kutengeneza maji ya kunywa"
"Northumbria, declared for him: and even Stigand, the patriotic archbishop of","Northumbria, alitangaza kwa ajili yake na hata Stigand, askofu mkuu wa kizalendo"
"""Really, Mr. Holmes,"" said Mr. Merryweather as we followed them from the cellar, ""I do not know how the bank can thank you or repay you.","""Kweli, Bw Holmes,"" alisema Bw Merryweather kama sisi ikifuatiwa yao kutoka pishi, ""Mimi hawajui jinsi benki inaweza asante au kukulipa."
